Iteration 1: c = x, s = esrss, state = 0
Iteration 198: c = {, s = ettrs, state = 9
Iteration 199: c = (, s = teete, state = 9
Iteration 200: c = }, s = rttet, state = 9
Iteration 201: c = x, s = ttrtt, state = 9
Iteration 202: c = a, s = rrtes, state = 9
Iteration 203: c = ], s = stesr, state = 9
Iteration 204: c = {, s = etrss, state = 9
Iteration 205: c = [, s = rsett, state = 9
Iteration 206: c = a, s = estse, state = 9
Iteration 207: c = {, s = esset, state = 9
Iteration 208: c = {, s = terrt, state = 9
Iteration 209: c = [, s = trrtt, state = 9
Iteration 210: c =  , s = rtees, state = 9
Iteration 211: c = {, s = srtes, state = 9
Iteration 212: c = ], s = rtssr, state = 9
Iteration 213: c = x, s = tttrt, state = 9
Iteration 214: c = x, s = rstre, state = 9
Iteration 215: c = ), s = tsert, state = 9
Iteration 216: c = ], s = rettt, state = 9
Iteration 217: c = x, s = rtese, state = 9
Iteration 218: c = {, s = reete, state = 9
Iteration 219: c = {, s = eetrs, state = 9
Iteration 220: c = }, s = seste, state = 9
Iteration 221: c = ], s = tetse, state = 9
Iteration 222: c = (, s = reeet, state = 9
Iteration 223: c = }, s = strts, state = 9
Iteration 224: c = (, s = rrstr, state = 9
Iteration 225: c = a, s = ttess, state = 9
Iteration 226: c = [, s = rertr, state = 9
Iteration 227: c = a, s = srste, state = 9
Iteration 228: c = [, s = stest, state = 9
Iteration 229: c =  , s = tttss, state = 9
Iteration 230: c = ], s = setrt, state = 9
Iteration 231: c = a, s = sttst, state = 9
Iteration 232: c = [, s = teter, state = 9
Iteration 233: c = {, s = tttre, state = 9
Iteration 234: c = x, s = teett, state = 9
Iteration 235: c = ], s = teese, state = 9
Iteration 236: c =  , s = trrss, state = 9
Iteration 237: c = x, s = esrrt, state = 9
Iteration 238: c = (, s = rstrs, state = 9
Iteration 239: c = ], s = sssre, state = 9
Iteration 240: c = ], s = trsrs, state = 9
Iteration 241: c = [, s = eerer, state = 9
Iteration 242: c = a, s = rerrs, state = 9
Iteration 243: c = a, s = rssrs, state = 9
Iteration 244: c = ), s = eette, state = 9
Iteration 245: c = ], s = rrrse, state = 9
Iteration 246: c = ), s = sstst, state = 9
Iteration 247: c = (, s = eteet, state = 9
Iteration 248: c = x, s = etert, state = 9
Iteration 249: c = a, s = erert, state = 9
Iteration 250: c = ], s = rtsrs, state = 9
Iteration 251: c =  , s = sreet, state = 9
Iteration 252: c =  , s = ertse, state = 9
Iteration 253: c = a, s = etsst, state = 9
Iteration 254: c = {, s = srstr, state = 9
Iteration 255: c = ), s = ererr, state = 9
Iteration 256: c = (, s = tstet, state = 9
Iteration 257: c = ), s = erses, state = 9
Iteration 258: c =  , s = tttes, state = 9
Iteration 259: c =  , s = trser, state = 9
Iteration 260: c = }, s = seste, state = 9
Iteration 261: c =  , s = serss, state = 9
Iteration 262: c = ), s = rtrtr, state = 9
Iteration 263: c =  , s = trsse, state = 9
Iteration 264: c = (, s = rrrse, state = 9
Iteration 265: c = [, s = rrsst, state = 9
Iteration 266: c = [, s = rsrrr, state = 9
Iteration 267: c = ), s = trstt, state = 9
Iteration 268: c = {, s = sssrr, state = 9
Iteration 269: c = ], s = rrrrs, state = 9
Iteration 270: c =  , s = esstr, state = 9
Iteration 271: c = }, s = srttr, state = 9
Iteration 272: c = a, s = errtt, state = 9
Iteration 273: c = [, s = sesre, state = 9
Iteration 274: c = {, s = retes, state = 9
Iteration 275: c = }, s = ttres, state = 9
Iteration 276: c = x, s = srest, state = 9
Iteration 277: c = ], s = eeeer, state = 9
Iteration 278: c = }, s = esstt, state = 9
Iteration 279: c = a, s = eterr, state = 9
Iteration 280: c = a, s = stssr, state = 9
Iteration 281: c = {, s = stete, state = 9
Iteration 282: c = [, s = esesr, state = 9
Iteration 283: c = x, s = tersr, state = 9
Iteration 284: c = }, s = setts, state = 9
Iteration 285: c = }, s = trtes, state = 9
Iteration 286: c =  , s = srstr, state = 9
Iteration 287: c = }, s = teset, state = 9
Iteration 288: c = [, s = tttte, state = 9
Iteration 289: c = }, s = ttrss, state = 9
Iteration 290: c = ], s = eesrt, state = 9
Iteration 291: c = [, s = reesr, state = 9
Iteration 292: c = ], s = stsrr, state = 9
Iteration 293: c = (, s = stret, state = 9
Iteration 294: c =  , s = rsrrr, state = 9
Iteration 295: c = (, s = teres, state = 9
Iteration 296: c = ), s = ssrtr, state = 9
Iteration 297: c = x, s = rsrss, state = 9
Iteration 298: c = }, s = trrre, state = 9
Iteration 299: c = [, s = eeess, state = 9
Iteration 300: c = x, s = eeses, state = 9
Iteration 301: c = ], s = erset, state = 9
Iteration 302: c = [, s = stese, state = 9
Iteration 303: c = ), s = serse, state = 9
Iteration 304: c = }, s = estsr, state = 9
Iteration 305: c = ], s = tesst, state = 9
Iteration 306: c = x, s = sreee, state = 9
Iteration 307: c = }, s = rtree, state = 9
Iteration 308: c = (, s = ertss, state = 9
Iteration 309: c = a, s = rrsts, state = 9
Iteration 310: c = a, s = esrtr, state = 9
Iteration 311: c = [, s = rstst, state = 9
Iteration 312: c = {, s = ttrte, state = 9
Iteration 313: c = [, s = essrr, state = 9
Iteration 314: c =  , s = rrrtr, state = 9
Iteration 315: c = }, s = seesr, state = 9
Iteration 316: c = ), s = setet, state = 9
Iteration 317: c = [, s = ssste, state = 9
Iteration 318: c = x, s = etstt, state = 9
Iteration 319: c = x, s = trtrt, state = 9
Iteration 320: c = ], s = terrt, state = 9
Iteration 321: c = [, s = eeert, state = 9
Iteration 322: c = ], s = tessr, state = 9
Iteration 323: c = ], s = eettr, state = 9
Iteration 324: c = [, s = srser, state = 9
Iteration 325: c =  , s = rtsrt, state = 9
Iteration 326: c = ], s = rrtsr, state = 9
Iteration 327: c = a, s = srres, state = 9
Iteration 328: c =  , s = etsrt, state = 9
Iteration 329: c = (, s = seses, state = 9
Iteration 330: c = x, s = ssees, state = 9
Iteration 331: c = }, s = tsrsr, state = 9
Iteration 332: c = (, s = eteer, state = 9
Iteration 333: c = {, s = eeste, state = 9
Iteration 334: c =  , s = stsrr, state = 9
Iteration 335: c = x, s = ttsrr, state = 9
Iteration 336: c = {, s = ettee, state = 9
Iteration 337: c =  , s = ssstt, state = 9
Iteration 338: c = a, s = seter, state = 9
Iteration 339: c = }, s = ssret, state = 9
Iteration 340: c = x, s = estrs, state = 9
Iteration 341: c = }, s = rtste, state = 9
Iteration 342: c = ], s = ttset, state = 9
Iteration 343: c = ), s = retts, state = 9
Iteration 344: c =  , s = resrs, state = 9
Iteration 345: c = [, s = rttrt, state = 9
Iteration 346: c = {, s = trest, state = 9
Iteration 347: c = a, s = sserr, state = 9
Iteration 348: c = }, s = srset, state = 9
Iteration 349: c = }, s = etett, state = 9
Iteration 350: c = {, s = rrttr, state = 9
Iteration 351: c = (, s = rtsee, state = 9
Iteration 352: c = [, s = ttrer, state = 9
Iteration 353: c = a, s = esrtr, state = 9
Iteration 354: c = ), s = reter, state = 9
Iteration 355: c = ), s = ertrt, state = 9
Iteration 356: c = ], s = stsee, state = 9
Iteration 357: c = x, s = trtte, state = 9
Iteration 358: c = ], s = rtsrs, state = 9
Iteration 359: c = }, s = rstrr, state = 9
Iteration 360: c = }, s = tetse, state = 9
Iteration 361: c = ], s = etetr, state = 9
Iteration 362: c = ), s = ttttt, state = 9
Iteration 363: c = a, s = sttrt, state = 9
Iteration 364: c = {, s = srrer, state = 9
Iteration 365: c = }, s = rtete, state = 9
Iteration 366: c = x, s = esste, state = 9
Iteration 367: c = x, s = eesrr, state = 9
Iteration 368: c = ), s = esrrt, state = 9
Iteration 369: c = {, s = settt, state = 9
Iteration 370: c = ), s = ttset, state = 9
Iteration 371: c =  , s = treet, state = 9
Iteration 372: c = ], s = rerse, state = 9
Iteration 373: c = }, s = tsstt, state = 9
Iteration 374: c = (, s = setsr, state = 9
Iteration 375: c = x, s = erere, state = 9
Iteration 376: c = }, s = trees, state = 9
Iteration 377: c = ], s = rserr, state = 9
Iteration 378: c = ], s = rtess, state = 9
Iteration 379: c = x, s = rrsts, state = 9
Iteration 380: c = a, s = erssr, state = 9
Iteration 381: c =  , s = ttrrr, state = 9
Iteration 382: c = ], s = rrrsr, state = 9
Iteration 383: c = }, s = ertst, state = 9
Iteration 384: c = ), s = ttees, state = 9
Iteration 385: c = ], s = ttrse, state = 9
Iteration 386: c = [, s = erter, state = 9
Iteration 387: c = }, s = tertt, state = 9
Iteration 388: c = ), s = tress, state = 9
Iteration 389: c = ], s = tetes, state = 9
Iteration 390: c = {, s = esrer, state = 9
Iteration 391: c = ), s = eesrt, state = 9
Iteration 392: c =  , s = rsres, state = 9
Iteration 393: c = x, s = settr, state = 9
Iteration 394: c = a, s = rtttr, state = 9
Iteration 395: c = {, s = eetes, state = 9
Iteration 396: c = ), s = ttesr, state = 9
Iteration 397: c = a, s = ersee, state = 9
Iteration 398: c = a, s = rtstt, state = 9
Iteration 399: c = }, s = rtets, state = 9
Iteration 400: c = a, s = ettre, state = 9
Iteration 401: c = a, s = rrees, state = 9
Iteration 402: c = (, s = etstr, state = 9
Iteration 403: c = ), s = rrtst, state = 9
Iteration 404: c = ), s = rreet, state = 9
Iteration 405: c = ], s = trtte, state = 9
Iteration 406: c = [, s = eerss, state = 9
Iteration 407: c = a, s = rtsss, state = 9
Iteration 408: c =  , s = estrr, state = 9
Iteration 409: c = (, s = srtts, state = 9
Iteration 410: c = (, s = tetsr, state = 9
Iteration 411: c = x, s = seesr, state = 9
Iteration 412: c = x, s = ersrs, state = 9
Iteration 413: c = {, s = tttsr, state = 9
Iteration 414: c = x, s = esrrs, state = 9
Iteration 415: c = x, s = tetst, state = 9
Iteration 416: c = a, s = seett, state = 9
Iteration 417: c = {, s = seere, state = 9
Iteration 418: c = {, s = rrtts, state = 9
Iteration 419: c = }, s = tretr, state = 9
Iteration 420: c = x, s = etrre, state = 9
Iteration 421: c = ), s = rtrss, state = 9
Iteration 422: c = (, s = treer, state = 9
Iteration 423: c = ), s = restr, state = 9
Iteration 424: c = ], s = strrs, state = 9
Iteration 425: c = ], s = ttrrr, state = 9
Iteration 426: c = x, s = trers, state = 9
Iteration 427: c = }, s = rsret, state = 9
Iteration 428: c = ), s = ttset, state = 9
Iteration 429: c = [, s = eesse, state = 9
Iteration 430: c = ), s = terte, state = 9
Iteration 431: c =  , s = errtr, state = 9
Iteration 432: c = }, s = trete, state = 9
Iteration 433: c = ), s = rrtse, state = 9
Iteration 434: c = (, s = etrte, state = 9
Iteration 435: c = [, s = trstt, state = 9
Iteration 436: c = {, s = terrr, state = 9
Iteration 437: c = [, s = tters, state = 9
Iteration 438: c = [, s = rttte, state = 9
Iteration 439: c = x, s = sstse, state = 9
Iteration 440: c = a, s = tersr, state = 9
Iteration 441: c = [, s = ereer, state = 9
Iteration 442: c = (, s = strtt, state = 9
Iteration 443: c = (, s = eters, state = 9
Iteration 444: c = ), s = erers, state = 9
Iteration 445: c = ), s = esrer, state = 9
Iteration 446: c = }, s = eerst, state = 9
Iteration 447: c = ), s = tettr, state = 9
Iteration 448: c = (, s = seets, state = 9
Iteration 449: c = }, s = strrt, state = 9
Iteration 450: c = {, s = trets, state = 9
Iteration 451: c = [, s = ttsrs, state = 9
Iteration 452: c = a, s = resre, state = 9
Iteration 453: c = [, s = strrs, state = 9
Iteration 454: c = a, s = reere, state = 9
Iteration 455: c = a, s = trert, state = 9
Iteration 456: c = [, s = essrs, state = 9
Iteration 457: c = x, s = etsrt, state = 9
Iteration 458: c = ), s = sesse, state = 9
Iteration 459: c = ], s = reees, state = 9
Iteration 460: c = {, s = sests, state = 9
Iteration 461: c =  , s = strrt, state = 9
Iteration 462: c = }, s = eeete, state = 9
Iteration 463: c = a, s = stsrs, state = 9
Iteration 464: c = a, s = rsesr, state = 9
Iteration 465: c =  , s = rsrte, state = 9
Iteration 466: c =  , s = rtsrt, state = 9
Iteration 467: c = [, s = trsrt, state = 9
Iteration 468: c = ], s = eette, state = 9
Iteration 469: c = [, s = ssttr, state = 9
Iteration 470: c =  , s = srett, state = 9
Iteration 471: c = x, s = eretr, state = 9
Iteration 472: c = [, s = etetr, state = 9
Iteration 473: c = (, s = tessr, state = 9
Iteration 474: c = a, s = tssss, state = 9
Iteration 475: c = a, s = srstt, state = 9
Iteration 476: c = {, s = sestr, state = 9
Iteration 477: c = [, s = resse, state = 9
Iteration 478: c = {, s = trtes, state = 9
Iteration 479: c = (, s = eeett, state = 9
Iteration 480: c = ], s = eerre, state = 9
Iteration 481: c = ), s = strrs, state = 9
Iteration 482: c = a, s = stsre, state = 9
Iteration 483: c = {, s = srtee, state = 9
Iteration 484: c = {, s = rtsss, state = 9
Iteration 485: c = ), s = erter, state = 9
Iteration 486: c = [, s = estes, state = 9
Iteration 487: c = a, s = sreee, state = 9
Iteration 488: c = {, s = rtsre, state = 9
Iteration 489: c = a, s = eesrt, state = 9
Iteration 490: c = a, s = seees, state = 9
Iteration 491: c = {, s = sttee, state = 9
Iteration 492: c =  , s = tterr, state = 9
Iteration 493: c = [, s = sesre, state = 9
Iteration 494: c = ], s = rsrss, state = 9
Iteration 495: c = ), s = trers, state = 9
Iteration 496: c = {, s = ertre, state = 9
Iteration 497: c = ), s = eette, state = 9
Iteration 498: c = a, s = eretr, state = 9
Iteration 499: c = a, s = srrtt, state = 9
Iteration 500: c = (, s = tstrt, state = 9
Iteration 501: c = (, s = trese, state = 9
Iteration 502: c = }, s = ssrse, state = 9
Iteration 503: c = {, s = stets, state = 9
Iteration 504: c = ], s = eeser, state = 9
Iteration 505: c = ], s = rtrrt, state = 9
Iteration 506: c = (, s = estte, state = 9
Iteration 507: c =  , s = sttse, state = 9
Iteration 508: c = (, s = tttes, state = 9
Iteration 509: c = x, s = tttee, state = 9
Iteration 510: c = {, s = teste, state = 9
Iteration 511: c = ], s = sttes, state = 9
Iteration 512: c = (, s = srres, state = 9
Iteration 513: c = ), s = eeees, state = 9
Iteration 514: c = }, s = tetst, state = 9
Iteration 515: c = [, s = esete, state = 9
Iteration 516: c = }, s = rtstr, state = 9
Iteration 517: c =  , s = rsrrt, state = 9
Iteration 518: c = {, s = eetss, state = 9
Iteration 519: c =  , s = setet, state = 9
Iteration 520: c = (, s = errst, state = 9
Iteration 521: c = {, s = etrts, state = 9
Iteration 522: c = x, s = tstts, state = 9
Iteration 523: c = {, s = erres, state = 9
Iteration 524: c = }, s = trtse, state = 9
Iteration 525: c = a, s = essee, state = 9
Iteration 526: c = [, s = tsrts, state = 9
Iteration 527: c = a, s = reere, state = 9
Iteration 528: c = (, s = tsttt, state = 9
Iteration 529: c = (, s = essre, state = 9
Iteration 530: c =  , s = sssrt, state = 9
Iteration 531: c = [, s = esses, state = 9
Iteration 532: c =  , s = tsers, state = 9
Iteration 533: c = x, s = reetr, state = 9
Iteration 534: c = a, s = eetre, state = 9
Iteration 535: c = a, s = rtsst, state = 9
Iteration 536: c = [, s = srrre, state = 9
Iteration 537: c = {, s = reree, state = 9
Iteration 538: c =  , s = reree, state = 9
Iteration 539: c =  , s = essrs, state = 9
Iteration 540: c = ), s = rstse, state = 9
Iteration 541: c = {, s = rttrt, state = 9
Iteration 542: c = x, s = stssr, state = 9
Iteration 543: c = {, s = erese, state = 9
Iteration 544: c = ], s = ttret, state = 9
Iteration 545: c = a, s = erees, state = 9
Iteration 546: c = ), s = rsets, state = 9
Iteration 547: c = ), s = rrtst, state = 9
Iteration 548: c = }, s = srrts, state = 9
Iteration 549: c = {, s = eeeet, state = 9
Iteration 550: c =  , s = rrrse, state = 9
Iteration 551: c = a, s = reese, state = 9
Iteration 552: c = {, s = sersr, state = 9
Iteration 553: c = (, s = ssrse, state = 9
Iteration 554: c = x, s = rsret, state = 9
Iteration 555: c = (, s = srtss, state = 9
Iteration 556: c = [, s = esstr, state = 9
Iteration 557: c = ), s = ttete, state = 9
Iteration 558: c = {, s = tttte, state = 9
Iteration 559: c = (, s = esset, state = 9
Iteration 560: c = ), s = reerr, state = 9
Iteration 561: c =  , s = eestr, state = 9
Iteration 562: c = [, s = ttert, state = 9
Iteration 563: c = a, s = esere, state = 9
Iteration 564: c = ], s = rsesr, state = 9
Iteration 565: c = {, s = trser, state = 9
Iteration 566: c = [, s = retse, state = 9
Iteration 567: c = ], s = ertsr, state = 9
Iteration 568: c = [, s = eerse, state = 9
Iteration 569: c = (, s = eerst, state = 9
Iteration 570: c = [, s = tsret, state = 9
Iteration 571: c = ], s = trsss, state = 9
Iteration 572: c = ], s = sttss, state = 9
Iteration 573: c = ], s = rtree, state = 9
Iteration 574: c = [, s = stsse, state = 9
Iteration 575: c = (, s = srrte, state = 9
Iteration 576: c = x, s = rrtst, state = 9
Iteration 577: c = ), s = seeet, state = 9
Iteration 578: c = [, s = ersee, state = 9
Iteration 579: c = x, s = tttes, state = 9
Iteration 580: c =  , s = trett, state = 9
Iteration 581: c = ], s = sttss, state = 9
Iteration 582: c =  , s = rrtee, state = 9
Iteration 583: c =  , s = esttr, state = 9
Iteration 584: c = ), s = tttsr, state = 9
Iteration 585: c = a, s = ttsrs, state = 9
Iteration 586: c = ], s = seeet, state = 9
Iteration 587: c = ), s = ttttr, state = 9
Iteration 588: c = ], s = setee, state = 9
Iteration 589: c = ], s = ersrt, state = 9
Iteration 590: c = ), s = sssrs, state = 9
Iteration 591: c = ], s = eress, state = 9
Iteration 592: c = {, s = eetrr, state = 9
Iteration 593: c = a, s = esert, state = 9
Iteration 594: c = (, s = trtee, state = 9
Iteration 595: c = }, s = ttret, state = 9
Iteration 596: c = ), s = srstt, state = 9
Iteration 597: c = {, s = rrste, state = 9
Iteration 598: c = x, s = tsees, state = 9
Iteration 599: c = (, s = teess, state = 9
Iteration 600: c = (, s = reert, state = 9
Iteration 601: c = (, s = serer, state = 9
Iteration 602: c = ), s = errtr, state = 9
Iteration 603: c = {, s = stttr, state = 9
Iteration 604: c = (, s = trsrs, state = 9
Iteration 605: c = }, s = stett, state = 9
Iteration 606: c = {, s = tsert, state = 9
Iteration 607: c = x, s = trstr, state = 9
Iteration 608: c = a, s = rsste, state = 9
Iteration 609: c = [, s = rrsse, state = 9
Iteration 610: c = a, s = strrt, state = 9
Iteration 611: c = a, s = rsess, state = 9
Iteration 612: c = }, s = rsese, state = 9
Iteration 613: c = a, s = estte, state = 9
Iteration 614: c =  , s = esrrr, state = 9
Iteration 615: c = }, s = eteet, state = 9
Iteration 616: c = }, s = rtsse, state = 9
Iteration 617: c =  , s = settr, state = 9
Iteration 618: c =  , s = restr, state = 9
Iteration 619: c = ], s = tesre, state = 9
Iteration 620: c = x, s = esest, state = 9
Iteration 621: c = [, s = srres, state = 9
Iteration 622: c = ), s = srter, state = 9
Iteration 623: c = ], s = errrr, state = 9
Iteration 624: c = [, s = rtest, state = 9
Iteration 625: c = [, s = reest, state = 9
Iteration 626: c = [, s = ssest, state = 9
Iteration 627: c = }, s = retts, state = 9
Iteration 628: c = ], s = strst, state = 9
Iteration 629: c = x, s = sttte, state = 9
Iteration 630: c = {, s = ssrrr, state = 9
Iteration 631: c =  , s = esese, state = 9
Iteration 632: c = (, s = eeerr, state = 9
